symbol,name,sector,subsector,industry,subindustry,board
BTEL,Bakrie Telecom Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Pemantauan Khusus
BTON,Betonjaya Manunggal Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pengembangan
BTPN,PT Bank SMBC Indonesia Tbk,Keuangan,Bank,Bank,Bank,Utama
BTPS,PT Bank BTPN Syariah Tbk.,Keuangan,Bank,Bank,Bank,Utama
BUAH,PT Segar Kumala Indonesia Tbk,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,Pengembangan
BUDI,PT Budi Starch & Sweetener Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Utama
BUKA,PT Bukalapak.com Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Ekonomi Baru
BUKK,Bukaka Teknik Utama Tbk,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pengembangan
BULL,PT Buana Lintas Lautan Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pengembangan
BUMI,Bumi Resources Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
BUVA,PT Bukit Uluwatu Villa Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
BVIC,Bank Victoria International Tbk,Keuangan,Bank,Bank,Bank,Utama
BWPT,Eagle High Plantations Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
BYAN,Bayan Resources Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
CAKK,PT Cahayaputra Asa Keramik Tbk.,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pengembangan
CAMP,PT Campina Ice Cream Industry Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan,Pengembangan
CANI,PT Capitol Nusantara Indonesia Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pemantauan Khusus
CARE,PT Metro Healthcare Indonesia Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,Pengembangan
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,Utama
